product,type,inches,ram,os,weight,price,screen,screenw,screenh,touchscreen,ipspanel,retina,cpu_brand,cpu_freq,cpu_model,primary_storage,secondary_storage,primary_storage_type,secondary_storage_type,gpu_brand,gpu_model,total_storage_gb,storage_type,cpu_generation,price_segment
GE63VR 7RF,Gaming,15.6,16,Windows 10,2.8,2099,Full HD,1920,1080,No,Yes,No,Intel,2.8,Core i7 7700HQ,256,1024,SSD,HDD,Nvidia,GeForce GTX 1070,0,Mixed,7th Gen,Premium
ES1-523-84K7 (A8-7410/8GB/256GB/FHD/W10),Notebook,15.6,8,Windows 10,2.23,469,Full HD,1920,1080,No,No,No,AMD,2.2,A8-Series 7410,256,0,SSD,No,AMD,Radeon R5,0,SSD,7th Gen,Low
VivoBook Flip,2 in 1 Convertible,11.6,2,Windows 10,1.1,275,Standard,1366,768,Yes,No,No,Intel,1.1,Celeron Dual Core N3350,32,0,Flash Storage,No,Intel,HD Graphics 500,0,Unknown,3th Gen,Low
Inspiron 5570,Notebook,15.6,8,Windows 10,2.33,844,Full HD,1920,1080,No,No,No,Intel,1.6,Core i5 8250U,128,1024,SSD,HDD,AMD,Radeon 530,0,Mixed,8th Gen,Mid
Spectre x360,2 in 1 Convertible,13.3,16,Windows 10,1.29,2449,4K Ultra HD,3840,2160,Yes,Yes,No,Intel,1.8,Core i7 8550U,1024,0,SSD,No,Intel,UHD Graphics 620,0,SSD,8th Gen,Premium
ThinkPad 13,Notebook,13.3,4,Chrome OS,1.45,460,Standard,1366,768,No,No,No,Intel,1.6,Celeron Dual Core 3855U,16,0,Flash Storage,No,Intel,HD Graphics 510,0,Unknown,3th Gen,Low
ProBook 640,Notebook,14,8,Windows 10,1.95,980,Full HD,1920,1080,No,No,No,Intel,2.5,Core i5 7200U,256,0,SSD,No,Intel,HD Graphics 620,0,SSD,7th Gen,Mid
TravelMate B,Notebook,11.6,4,Windows 10,1.4,485,Standard,1366,768,No,No,No,Intel,1.6,Pentium Quad Core N3710,128,0,Flash Storage,No,Intel,HD Graphics 405,0,Unknown,3th Gen,Low
Elitebook 840,Notebook,14,8,Windows 10,1.48,1292,Full HD,1920,1080,No,No,No,Intel,2.7,Core i7 7500U,256,0,SSD,No,Intel,HD Graphics 620,0,SSD,7th Gen,High
IdeaPad 320-17IKB,Notebook,17.3,4,Windows 10,2.79,589,Standard,1600,900,No,No,No,Intel,2.5,Core i5 7200U,1024,0,HDD,No,Nvidia,GeForce 920MX,0,HDD,7th Gen,Low
ZenBook UX410UA-GV183T,Notebook,14,8,Windows 10,2,1094,Full HD,1920,1080,No,No,No,Intel,2.7,Core i7 7500U,256,0,SSD,No,Intel,HD Graphics 620,0,SSD,7th Gen,High
ProBook 450,Notebook,15.6,8,Windows 10,2.1,902,Full HD,1366,768,No,Yes,No,Intel,1.8,Core i7 8550U,1024,0,HDD,No,Intel,UHD Graphics 620,0,HDD,8th Gen,Mid
Aspire 5,Notebook,15.6,8,Windows 10,2.2,659,Standard,1366,768,No,No,No,AMD,2.7,A12-Series 9720P,256,0,SSD,No,AMD,Radeon RX 540,0,SSD,9th Gen,Mid
IdeaPad 120S-14IAP,Notebook,14,4,Windows 10,1.44,292,Standard,1366,768,No,No,No,Intel,1.1,Celeron Dual Core N3350,32,0,Flash Storage,No,Intel,HD Graphics 500,0,Unknown,3th Gen,Low
Aspire E5-575,Notebook,15.6,6,Windows 10,2.23,549,Standard,1366,768,No,No,No,Intel,2.5,Core i5 7200U,1024,0,HDD,No,Intel,HD Graphics 620,0,HDD,7th Gen,Low
VivoBook S15,Ultrabook,15.6,8,Windows 10,1.7,1050,Full HD,1920,1080,No,No,No,Intel,2.7,Core i7 7500U,256,0,SSD,No,Nvidia,GeForce 940MX,0,SSD,7th Gen,High
Elitebook 820,Ultrabook,12.5,8,Windows 10,1.26,1335,Full HD,1920,1080,No,No,No,Intel,2.7,Core i7 7500U,256,0,SSD,No,Intel,HD Graphics 620,0,SSD,7th Gen,High
XPS 15,Notebook,15.6,32,Windows 10,2.06,2639,4K Ultra HD,3840,2160,Yes,No,No,Intel,2.8,Core i7 7700HQ,1024,0,SSD,No,Nvidia,GeForce GTX 1050,0,SSD,7th Gen,Premium
GL72M 7REX,Gaming,17.3,8,Windows 10,2.7,1199,Full HD,1920,1080,No,No,No,Intel,2.8,Core i7 7700HQ,256,1024,SSD,HDD,Nvidia,GeForce GTX 1050 Ti,0,Mixed,7th Gen,High
Satellite Pro,Notebook,15.6,8,Windows 10,2,943,Full HD,1920,1080,No,Yes,No,Intel,2.5,Core i5 7200U,256,0,SSD,No,Intel,HD Graphics 620,0,SSD,7th Gen,Mid
UX510UX-CN269T (i7-7500U/8GB/256GB,Notebook,14,8,Windows 10,2,1334,Full HD,1920,1080,No,No,No,Intel,2.7,Core i7 7500U,256,1024,SSD,HDD,Intel,HD Graphics 620,0,Mixed,7th Gen,High
V310-15ISK (i3-6006U/4GB/1TB/FHD/W10),Notebook,15.6,4,Windows 10,1.85,449,Full HD,1920,1080,No,No,No,Intel,2,Core i3 6006U,1024,0,HDD,No,Intel,HD Graphics 520,0,HDD,6th Gen,Low
FX553VD-FY647T (i7-7700HQ/8GB/256GB/GeForce,Gaming,15.6,8,Windows 10,2.5,999,Full HD,1920,1080,No,No,No,Intel,2.8,Core i7 7700HQ,256,0,SSD,No,Nvidia,GeForce GTX 1050,0,SSD,7th Gen,Mid
EliteBook 840,Notebook,14,8,Windows 10,1.48,1268,Full HD,1920,1080,No,No,No,Intel,2.6,Core i5 7300U,256,0,SSD,No,Intel,HD Graphics 620,0,SSD,7th Gen,High
Inspiron 7570,Ultrabook,15.6,8,Windows 10,1.9,1049,Full HD,1920,1080,No,Yes,No,Intel,1.6,Core i5 8250U,128,1024,SSD,HDD,Nvidia,GeForce 940MX,0,Mixed,8th Gen,High
Elitebook 850,Notebook,15.6,8,Windows 10,1.84,1144,Full HD,1920,1080,No,No,No,Intel,2.5,Core i5 7200U,256,0,SSD,No,Intel,HD Graphics 620,0,SSD,7th Gen,High
X541NA (N3350/4GB/1TB/Linux),Notebook,15.6,4,Linux,2,275,Standard,1366,768,No,No,No,Intel,1.1,Celeron Dual Core N3350,1024,0,HDD,No,Intel,HD Graphics 500,0,HDD,3th Gen,Low
Inspiron 7570,Notebook,15.6,8,Windows 10,2,1143,Full HD,1920,1080,No,No,No,Intel,1.6,Core i5 8250U,256,0,SSD,No,Nvidia,GeForce 940MX,0,SSD,8th Gen,High
Inspiron 3552,Notebook,15.6,4,Linux,2.2,275,Standard,1366,768,No,No,No,Intel,1.6,Celeron Dual Core N3060,500,0,HDD,No,Intel,HD Graphics,0,HDD,3th Gen,Low
IdeaPad 320-15ABR,Notebook,15.6,12,Windows 10,2.2,899,Full HD,1920,1080,No,No,No,AMD,3.6,A12-Series 9720P,2048,0,HDD,No,AMD,Radeon 530,0,HDD,9th Gen,Mid
ProBook 450,Notebook,15.6,8,Windows 10,2.1,716,Full HD,1920,1080,No,Yes,No,Intel,2.4,Core i3 7100U,1024,0,HDD,No,Nvidia,GeForce 930MX ,0,HDD,7th Gen,Mid
Yoga 920-13IKB,2 in 1 Convertible,13.9,16,Windows 10,1.4,2099,4K Ultra HD,3840,2160,Yes,Yes,No,Intel,1.8,Core i7 8550U,512,0,SSD,No,Intel,UHD Graphics 620,0,SSD,8th Gen,Premium
XPS 13,Ultrabook,13.3,8,Windows 10,1.2,1579,Full HD,1920,1080,No,No,No,Intel,1.8,Core i7 8550U,256,0,SSD,No,Intel,UHD Graphics 620,0,SSD,8th Gen,Premium
Legion Y520-15IKBN,Gaming,15.6,16,Windows 10,2.4,1129,Full HD,1920,1080,No,Yes,No,Intel,2.8,Core i7 7700HQ,256,2048,SSD,HDD,Nvidia,GeForce GTX 1050 Ti,0,Mixed,7th Gen,High
Stream 14-AX001nv,Notebook,14,2,Windows 10,1.44,279,Standard,1366,768,No,No,No,Intel,1.6,Celeron Dual Core N3060,32,0,Flash Storage,No,Intel,HD Graphics 400,0,Unknown,3th Gen,Low
Latitude 5590,Ultrabook,15.6,16,Windows 10,1.88,1608,Full HD,1920,1080,No,No,No,Intel,1.9,Core i7 8650U,512,256,SSD,SSD,Intel,UHD Graphics 620,0,SSD,8th Gen,Premium
VivoBook Flip,2 in 1 Convertible,11.6,4,Windows 10,1.5,375,Standard,1366,768,Yes,No,No,Intel,1.1,Celeron Dual Core N3350,32,0,Flash Storage,No,Intel,HD Graphics 500,0,Unknown,3th Gen,Low
Inspiron 5570,Ultrabook,15.6,8,Windows 10,1.9,663,Full HD,1920,1080,No,No,No,Intel,1.6,Core i5 8250U,1024,0,HDD,No,AMD,Radeon 530,0,HDD,8th Gen,Mid
XPS 15,Notebook,15.6,16,Windows 10,2.06,2027,4K Ultra HD,3840,2160,Yes,No,No,Intel,2.8,Core i7 7700HQ,512,0,SSD,No,Nvidia,GeForce GTX 1050,0,SSD,7th Gen,Premium
Elitebook 850,Notebook,15.6,8,Windows 10,1.84,1304,Full HD,1920,1080,No,No,No,Intel,2.7,Core i7 7500U,256,0,SSD,No,Intel,HD Graphics 620,0,SSD,7th Gen,High
GP72MVR 7RFX,Gaming,17.3,8,Windows 10,2.7,1409,Full HD,1920,1080,No,No,No,Intel,2.8,Core i7 7700HQ,128,1024,SSD,HDD,Nvidia,GeForce GTX 1060,0,Mixed,7th Gen,High
Zbook 15,Workstation,15.6,8,Windows 10,2.6,1738,Full HD,1920,1080,No,No,No,Intel,2.8,Core i7 7700HQ,256,0,SSD,No,Nvidia,Quadro M1200,0,SSD,7th Gen,Premium
Tecra A50-C-21G,Notebook,15.6,16,Windows 10,2.4,1403,Full HD,1920,1080,No,Yes,No,Intel,2.5,Core i7 6500U,512,0,SSD,No,Nvidia,GeForce 930M,0,SSD,6th Gen,High
Inspiron 5570,Notebook,15.6,8,Windows 10,2.02,971,Full HD,1920,1080,No,No,No,Intel,1.8,Core i7 8550U,128,2048,SSD,HDD,AMD,Radeon 530,0,Mixed,8th Gen,Mid
IdeaPad 320-15IAP,Notebook,15.6,4,No OS,2.2,322,Standard,1366,768,No,No,No,Intel,1.1,Celeron Dual Core N3350,1024,0,HDD,No,Intel,HD Graphics 500,0,HDD,3th Gen,Low
Inspiron 7577,Gaming,15.6,8,Windows 10,2.65,999,Full HD,1920,1080,No,No,No,Intel,2.5,Core i5 7300HQ,1024,0,HDD,No,Nvidia,GeForce GTX 1050,0,HDD,7th Gen,Mid
Inspiron 3567,Notebook,15.6,8,Windows 10,2.36,557,Standard,1366,768,Yes,No,No,Intel,2.5,Core i5 7200U,2048,0,HDD,No,Intel,HD Graphics 620,0,HDD,7th Gen,Low
Latitude 7480,Notebook,14,8,Windows 10,1.36,1427,Full HD,1920,1080,No,No,No,Intel,2.6,Core i5 7300U,256,0,SSD,No,Intel,HD Graphics 620,0,SSD,7th Gen,High
250 G6,Notebook,15.6,4,Windows 10,1.86,439,Standard,1366,768,No,No,No,Intel,2,Core i3 6006U,500,0,HDD,No,Intel,HD Graphics 520,0,HDD,6th Gen,Low
Zenbook UX410UA-GV027T,Notebook,14,8,Windows 10,2,945,Full HD,1920,1080,No,No,No,Intel,2.5,Core i5 7200U,256,0,SSD,No,Intel,HD Graphics 620,0,SSD,7th Gen,Mid
IdeaPad 320-17IKB,Notebook,17.3,6,Windows 10,2.8,719,Standard,1600,900,No,No,No,Intel,2.5,Core i5 7200U,128,1024,SSD,HDD,Nvidia,GeForce GTX 940MX,0,Mixed,7th Gen,Mid
250 G6,Notebook,15.6,8,Windows 10,1.86,639,Full HD,1920,1080,No,No,No,Intel,2.5,Core i5 7200U,1024,0,HDD,No,Intel,HD Graphics 620,0,HDD,7th Gen,Mid
IdeaPad 320-15ISK,Notebook,15.6,8,No OS,2.2,499,Standard,1366,768,No,No,No,Intel,2,Core i3 6006U,256,0,SSD,No,Nvidia,GeForce 920MX ,0,SSD,6th Gen,Low
15-AY023na (N3710/8GB/2TB/W10),Notebook,15.6,8,Windows 10,2.04,389,Standard,1366,768,No,No,No,Intel,1.6,Pentium Quad Core N3710,2048,0,HDD,No,Intel,HD Graphics 405,0,HDD,3th Gen,Low
Inspiron 5770,Notebook,17.3,8,Windows 10,2.8,1085,Full HD,1920,1080,No,No,No,Intel,1.6,Core i5 8250U,128,1024,SSD,HDD,AMD,Radeon 530,0,Mixed,8th Gen,High
Legion Y520-15IKBN,Gaming,15.6,8,No OS,2.4,809,Full HD,1920,1080,No,Yes,No,Intel,2.5,Core i5 7300HQ,128,1024,SSD,HDD,Nvidia,GeForce GTX 1050,0,Mixed,7th Gen,Mid
Inspiron 5567,Notebook,15.6,8,Windows 10,2.33,899,Full HD,1920,1080,No,No,No,Intel,2.7,Core i7 7500U,256,0,SSD,No,AMD,Radeon R7 M445,0,SSD,7th Gen,Mid
Elitebook 1040,Ultrabook,14,8,Windows 10,1.36,1750,Full HD,1920,1080,No,Yes,No,Intel,2.7,Core i7 7500U,256,0,SSD,No,Intel,HD Graphics 620,0,SSD,7th Gen,Premium
ZenBook Flip,2 in 1 Convertible,15.6,12,Windows 10,2.26,1099,Full HD,1920,1080,Yes,No,No,Intel,2.7,Core i7 7500U,512,2048,SSD,HDD,Nvidia,GeForce GT 940MX,0,Mixed,7th Gen,High
Aspire 3,Notebook,15.6,4,Windows 10,2.1,426,Standard,1366,768,No,No,No,AMD,3,A9-Series 9420,128,0,SSD,No,AMD,Radeon R5,0,SSD,9th Gen,Low
Rog Strix,Gaming,17.3,16,Windows 10,3.25,2199,Full HD,1920,1080,No,Yes,No,AMD,3,Ryzen 1700,256,1024,SSD,HDD,AMD,Radeon RX 580,0,Mixed,1th Gen,Premium
IdeaPad 110-17ACL,Notebook,17.3,4,Windows 10,2.6,489,Standard,1600,900,No,No,No,AMD,2.2,A8-Series 7410,128,0,SSD,No,AMD,Radeon R5,0,SSD,7th Gen,Low
Inspiron 5379,2 in 1 Convertible,13.3,8,Windows 10,1.62,869,Full HD,1920,1080,Yes,No,No,Intel,1.8,Core i7 8550U,256,0,SSD,No,Intel,UHD Graphics 620,0,SSD,8th Gen,Mid
15-bw003nv (A9-Series-9420/4GB/256GB/FHD/W10),Notebook,15.6,4,Windows 10,1.91,489,Full HD,1920,1080,No,No,No,AMD,3,A9-Series 9420,256,0,SSD,No,AMD,Radeon R5,0,SSD,9th Gen,Low
Yoga 11e,Netbook,11.6,4,Windows 10,1.59,553,Standard,1366,768,No,Yes,No,Intel,1.1,Celeron Quad Core N3450,128,0,SSD,No,Intel,HD Graphics 500,0,SSD,3th Gen,Low
Inspiron 3552,Notebook,15.6,4,Windows 10,1.8,309,Standard,1366,768,No,No,No,Intel,1.6,Celeron Dual Core N3060,500,0,HDD,No,Intel,HD Graphics 400,0,HDD,3th Gen,Low
VivoBook E403NA,Notebook,14,4,Windows 10,1.5,286,Standard,1366,768,No,No,No,Intel,1.1,Celeron Dual Core N3350,32,0,Flash Storage,No,Intel,HD Graphics 500,0,Unknown,3th Gen,Low
Aspire 7,Notebook,15.6,8,Linux,2.4,846,Full HD,1920,1080,No,No,No,Intel,2.8,Core i7 7700HQ,1024,0,HDD,No,Nvidia,GeForce GTX 1050,0,HDD,7th Gen,Mid
Omen 17-w212nv,Gaming,17.3,8,Windows 10,3.35,1191,Full HD,1920,1080,No,Yes,No,Intel,2.8,Core i7 7700HQ,128,1024,SSD,HDD,Nvidia,GeForce GTX 1050,0,Mixed,7th Gen,High
V310-15ISK (i3-6006U/4GB/128GB/FHD/No,Notebook,15.6,4,No OS,1.85,404,Full HD,1920,1080,No,No,No,Intel,2,Core i3 6006U,128,0,SSD,No,Intel,HD Graphics 520,0,SSD,6th Gen,Low
ROG Strix,Gaming,15.6,8,Windows 10,2.3,1655,Full HD,1920,1080,No,Yes,No,Intel,2.8,Core i7 7700HQ,128,1024,SSD,HDD,Nvidia,GeForce GTX 1060,0,Mixed,7th Gen,Premium
IdeaPad 720S-14IKB,Notebook,14,8,Windows 10,1.5,1099,Full HD,1920,1080,No,Yes,No,Intel,2.5,Core i5 7200U,256,0,SSD,No,Nvidia,GeForce 940MX,0,SSD,7th Gen,High
Zenbook Flip,Ultrabook,13.3,16,Windows 10,1.1,1749,Full HD,1920,1080,Yes,No,No,Intel,2.7,Core i7 7500U,512,0,SSD,No,Intel,HD Graphics 620,0,SSD,7th Gen,Premium
Thinkpad X1,Ultrabook,14,8,Windows 10,1.13,2282,Standard,2560,1440,No,Yes,No,Intel,2.7,Core i7 7500U,512,0,SSD,No,Intel,HD Graphics 620,0,SSD,7th Gen,Premium
Ideapad 510S-13IKB,Notebook,13.3,4,Windows 10,1.5,549,Full HD,1920,1080,No,Yes,No,Intel,2.4,Core i3 7100U,128,0,SSD,No,Intel,HD Graphics 620,0,SSD,7th Gen,Low
Precision 3510,Workstation,15.6,8,Windows 10,2.23,1369,Full HD,1920,1080,No,No,No,Intel,2.6,Core i5 6440HQ,500,0,HDD,No,AMD,FirePro W5130M,0,HDD,6th Gen,High
Precision 5520,Workstation,15.6,8,Windows 10,2,2135,Full HD,1920,1080,No,Yes,No,Intel,2.7,Core i7 6820HQ,256,0,SSD,No,Nvidia,Quadro M1200,0,SSD,6th Gen,Premium
ThinkPad X1,2 in 1 Convertible,14,16,Windows 10,1.42,2509,Standard,2560,1440,Yes,No,No,Intel,2.7,Core i7 7500U,512,0,SSD,No,Intel,HD Graphics 620,0,SSD,7th Gen,Premium
Rog GL753VD-GC042T,Gaming,17.3,8,Windows 10,3,1039,Full HD,1920,1080,No,No,No,Intel,2.8,Core i7 7700HQ,1024,0,HDD,No,Nvidia,GeForce GTX 1050,0,HDD,7th Gen,High
Rog GL753VE-GC070T,Gaming,17.3,16,Windows 10,3,1591,Full HD,1920,1080,No,No,No,Intel,2.8,Core i7 7700HQ,256,1024,SSD,HDD,Nvidia,GeForce GTX 1050 Ti,0,Mixed,7th Gen,Premium
Aspire 5,Notebook,15.6,12,Windows 10,2.2,694,Standard,1366,768,No,Yes,No,Intel,1.6,Core i5 8250U,1024,0,HDD,No,Nvidia,GeForce MX130,0,HDD,8th Gen,Mid
Leopard GP72M,Gaming,17.3,8,Windows 10,2.7,1349,Full HD,1920,1080,No,No,No,Intel,2.8,Core i7 7700HQ,256,0,SSD,No,Nvidia,GeForce GTX 1050 Ti,0,SSD,7th Gen,High
Inspiron 5567,Notebook,15.6,8,Linux,2.33,779,Full HD,1920,1080,No,No,No,Intel,2.7,Core i7 7500U,256,0,SSD,No,AMD,Radeon R7 M445,0,SSD,7th Gen,Mid
15-BW004nv (A9-9420/4GB/256GB/Radeon,Ultrabook,15.6,4,Windows 10,1.91,499,Full HD,1920,1080,No,No,No,AMD,3,A9-Series 9420,256,0,SSD,No,AMD,Radeon 520,0,SSD,9th Gen,Low
ThinkPad E580,Notebook,15.6,8,Windows 10,2.1,1230,Full HD,1920,1080,No,Yes,No,Intel,1.8,Core i7 8550U,256,0,SSD,No,AMD,Radeon RX 550,0,SSD,8th Gen,High
ThinkPad L470,Notebook,14,8,Windows 10,1.9,938,Full HD,1920,1080,No,Yes,No,Intel,2.5,Core i5 7200U,256,0,SSD,No,Intel,HD Graphics 620,0,SSD,7th Gen,Mid
Precision M5520,Workstation,15.6,8,Windows 10,1.78,2712,4K Ultra HD,3840,2160,Yes,No,No,Intel,2.8,Core i7 7700HQ,256,0,SSD,No,Nvidia,Quadro M1200,0,SSD,7th Gen,Premium
Thinkpad X1,Ultrabook,14,16,Windows 10,1.13,2625,Standard,2560,1440,No,Yes,No,Intel,2.7,Core i7 7500U,1024,0,SSD,No,Intel,HD Graphics 620,0,SSD,7th Gen,Premium
IdeaPad 320-15IAP,Notebook,15.6,4,Windows 10,2.2,306,Standard,1366,768,No,No,No,Intel,1.1,Celeron Dual Core N3350,1024,0,HDD,No,Intel,HD Graphics 500,0,HDD,3th Gen,Low
FX753VD-GC461T (i7-7700HQ/16GB/1TB,Gaming,17.3,16,Windows 10,2.9,1529,Full HD,1920,1080,No,No,No,Intel,2.8,Core i7 7700HQ,256,1024,SSD,HDD,Nvidia,GeForce GTX 1050,0,Mixed,7th Gen,Premium
ThinkPad E580,Notebook,15.6,8,Windows 10,2.1,1145,Full HD,1920,1080,No,Yes,No,Intel,1.6,Core i5 8250U,256,1024,SSD,HDD,AMD,Radeon RX 550,0,Mixed,8th Gen,High
Aspire 7,Notebook,15.6,8,Linux,2.5,879,Full HD,1920,1080,No,No,No,Intel,2.8,Core i7 7700HQ,256,0,SSD,No,Nvidia,GeForce GTX 1050,0,SSD,7th Gen,Mid
GE73VR 7RF,Gaming,17.3,16,Windows 10,2.8,2249,Full HD,1920,1080,No,No,No,Intel,2.8,Core i7 7700HQ,256,1024,SSD,HDD,Nvidia,GeForce GTX 1070,0,Mixed,7th Gen,Premium
Zenbook 3,Ultrabook,14,8,Windows 10,1.1,1873,Full HD,1920,1080,No,No,No,Intel,2.7,Core i7 7500U,512,0,SSD,No,Intel,HD Graphics 620,0,SSD,7th Gen,Premium
Portege Z30-C-16P,Ultrabook,13.3,16,Windows 10,1.2,1747,Full HD,1920,1080,No,No,No,Intel,2.5,Core i7 6500U,512,0,SSD,No,Intel,HD Graphics 520,0,SSD,6th Gen,Premium
Latitude 7480,Ultrabook,14,8,Windows 10,1.36,1680,Full HD,1920,1080,No,No,No,Intel,2.8,Core i7 7600U,512,0,SSD,No,Intel,HD Graphics,0,SSD,7th Gen,Premium
IdeaPad 320-15ISK,Notebook,15.6,4,Windows 10,2.2,409,Full HD,1920,1080,No,No,No,Intel,2,Core i3 6006U,500,0,HDD,No,Intel,HD Graphics 520,0,HDD,6th Gen,Low
Lenovo IdeaPad,Notebook,11.6,2,Windows 10,1.15,304,Standard,1366,768,No,No,No,Intel,1.1,Celeron Dual Core N3350,32,0,Flash Storage,No,Intel,HD Graphics 500,0,Unknown,3th Gen,Low
ThinkPad P51,Workstation,15.6,8,Windows 10,2.67,1925,Full HD,1920,1080,No,No,No,Intel,2.8,Core i7 7700HQ,512,0,SSD,No,Nvidia,Quadro M1200,0,SSD,7th Gen,Premium
Thinkpad T470p,Ultrabook,14,8,Windows 10,1.7,1943,Full HD,2560,1440,No,Yes,No,Intel,2.8,Core i7 7700HQ,512,0,SSD,No,Nvidia,GeForce GT 940MX,0,SSD,7th Gen,Premium
15-BS028nv (i3-6006U/4GB/1TB/Radeon,Notebook,15.6,4,Windows 10,2.1,469,Full HD,1920,1080,No,No,No,Intel,2,Core i3 6006U,1024,0,HDD,No,AMD,Radeon 520,0,HDD,6th Gen,Low
Aspire R7,2 in 1 Convertible,13.3,8,Windows 10,1.6,789,Full HD,1920,1080,Yes,Yes,No,Intel,2.5,Core i7 6500U,256,0,SSD,No,Intel,HD Graphics 520,0,SSD,6th Gen,Mid
ZenBook Flip,2 in 1 Convertible,13.3,8,Windows 10,1.27,928,Full HD,1920,1080,Yes,Yes,No,Intel,2.5,Core i5 7200U,256,0,SSD,No,Intel,HD Graphics 620,0,SSD,7th Gen,Mid
Inspiron 3567,Notebook,15.6,4,Linux,2.3,599,Full HD,1920,1080,No,No,No,Intel,2.5,Core i5 7200U,256,0,SSD,No,AMD,Radeon R5 M430,0,SSD,7th Gen,Low
Latitude 3380,Notebook,13.3,4,Windows 10,1.65,689,Standard,1366,768,No,No,No,Intel,2,Core i3 6006U,128,0,SSD,No,Intel,HD Graphics 520,0,SSD,6th Gen,Mid
EliteBook 1040,Ultrabook,14,8,Windows 10,1.43,1500,Full HD,1920,1080,No,No,No,Intel,2.5,Core i7 6500U,256,0,SSD,No,Intel,HD Graphics 520,0,SSD,6th Gen,Premium
Inspiron 3567,Notebook,15.6,8,Windows 10,2.14,540,Standard,1366,768,No,No,No,Intel,2.5,Core i5 7200U,1024,0,HDD,No,Intel,HD Graphics 620,0,HDD,7th Gen,Low
ThinkPad E480,Ultrabook,14,8,Windows 10,1.75,1215,Full HD,1920,1080,No,Yes,No,Intel,1.8,Core i7 8550U,256,0,SSD,No,AMD,Radeon RX 550,0,SSD,8th Gen,High
Yoga 720-15IKB,2 in 1 Convertible,15.6,16,Windows 10,2,1899,4K Ultra HD,3840,2160,Yes,Yes,No,Intel,2.8,Core i7 7700HQ,512,0,SSD,No,Nvidia,GeForce GTX 1050,0,SSD,7th Gen,Premium
LapBook 12.3,Notebook,12.3,6,Windows 10,1.4,449,Standard,2736,1824,No,Yes,Yes,Intel,1.1,Celeron Quad Core N3450,64,0,Flash Storage,No,Intel,HD Graphics 500,0,Unknown,3th Gen,Low
ProBook 650,Notebook,15.6,8,Windows 10,2.31,1427,Full HD,1920,1080,No,No,No,Intel,2.9,Core i7 7820HQ,256,0,SSD,No,Intel,HD Graphics 630,0,SSD,7th Gen,High
X542UQ-DM117 (i3-7100U/8GB/1TB/GeForce,Notebook,15.6,8,Linux,2.3,597,Full HD,1920,1080,No,No,No,Intel,2.4,Core i3 7100U,1024,0,HDD,No,Nvidia,GeForce 940MX,0,HDD,7th Gen,Low
Alienware 17,Gaming,17.3,16,Windows 10,4.42,2799,Standard,2560,1440,No,Yes,No,Intel,2.9,Core i7 7820HK,256,1024,SSD,HDD,Nvidia,GeForce GTX 1070,0,Mixed,7th Gen,Premium
Inspiron 7577,Gaming,15.6,8,Windows 10,2.62,1159,Full HD,1920,1080,No,Yes,No,Intel,2.8,Core i7 7700HQ,128,1024,SSD,HDD,Nvidia,GeForce GTX 1050 Ti,0,Mixed,7th Gen,High
Inspiron 5570,Notebook,15.6,8,Windows 10,2.02,1142,Full HD,1920,1080,No,No,No,Intel,1.8,Core i7 8550U,256,2048,SSD,HDD,AMD,Radeon 530,0,Mixed,8th Gen,High
Latitude 5480,Ultrabook,14,8,Linux,1.6,1099,Full HD,1920,1080,No,No,No,Intel,2.8,Core i7 7600U,256,0,SSD,No,Intel,HD Graphics 620,0,SSD,7th Gen,High
Omen 17-w207nv,Gaming,17.3,12,Windows 10,3.35,1999,Full HD,1920,1080,No,No,No,Intel,2.8,Core i7 7700HQ,256,1024,SSD,HDD,Nvidia,GeForce GTX 1070,0,Mixed,7th Gen,Premium
FlexBook Edge,2 in 1 Convertible,11.6,4,Windows 10,1.16,299,Full HD,1920,1080,Yes,Yes,No,Intel,1.1,Celeron Dual Core N3350,32,0,SSD,No,Intel,HD Graphics 500,0,SSD,3th Gen,Low
Chromebook 3,Netbook,11.6,4,Chrome OS,1.15,269,Standard,1366,768,No,No,No,Intel,1.6,Celeron Dual Core N3060,16,0,Flash Storage,No,Intel,HD Graphics 400,0,Unknown,3th Gen,Low
Thinkpad 13,Notebook,13.3,8,Windows 10,1.4,1010,Full HD,1920,1080,No,Yes,No,Intel,2.7,Core i7 7500U,256,0,SSD,No,Intel,HD Graphics 620,0,SSD,7th Gen,High
IdeaPad 320s-14IKB,Notebook,14,4,Windows 10,1.7,599,Full HD,1920,1080,No,Yes,No,Intel,2.7,Core i3 7130U,128,0,SSD,No,Intel,HD Graphics 620,0,SSD,7th Gen,Low
Thinkpad T570,Workstation,15.6,16,Windows 10,2.3,2445,4K Ultra HD,3840,2160,No,Yes,No,Intel,2.8,Core i7 7600U,512,0,SSD,No,Nvidia,GeForce 940MX,0,SSD,7th Gen,Premium
Thinkpad P51,Notebook,15.6,16,Windows 10,2.5,2449,Full HD,1920,1080,No,No,No,Intel,2.9,Core i7 7820HQ,512,0,SSD,No,Nvidia,Quadro M2200M,0,SSD,7th Gen,Premium
Rog Strix,Gaming,17.3,8,Windows 10,3.2,1695,Full HD,1920,1080,No,No,No,AMD,3.2,Ryzen 1600,256,1024,SSD,HDD,AMD,Radeon RX 580,0,Mixed,1th Gen,Premium
